update,env_steps,agent_steps,policy_loss,value_loss,entropy,approx_kl,clip_fraction,assignment_aux_loss,explained_variance,rollout_episode_return_mean,rollout_collision_count_mean,rollout_landmarks_covered_mean
0,1600,4800,-0.0006260926648975484,9.139875411987305,1.5551985800266266,1.7458556158089777e-05,0.0,1.0659728050231934,0.00637894868850708,-11.019428818748565,1.640625,0.7757245247062075
1,3200,9600,-0.00042601526947683155,6.991318225860596,1.5222293138504028,1.2762080814354704e-05,0.0,1.028959035873413,-0.020842671394348145,-10.680742468463169,1.1428571428571428,0.7479581897413609
2,4800,14400,-0.0003088706788547668,7.736530780792236,1.5008318424224854,9.540016833398113e-06,0.0,0.9932188242673874,-0.02267467975616455,-11.334329590347469,1.411764705882353,0.7757732007779419
3,6400,19200,-0.00023115821757524468,6.928837895393372,1.5243619978427887,5.574903838123646e-06,0.0,1.0119657218456268,-0.0384899377822876,-11.139218637150607,1.2692307692307692,0.759524778021625
4,8000,24000,-0.00016295306224511918,7.278788685798645,1.5142858624458313,4.595823185127301e-06,0.0,1.0141227841377258,0.004674434661865234,-11.729006885893195,1.3076923076923077,0.8303069870158695
5,9600,28800,-0.00022283115045951263,7.624682903289795,1.5342360138893127,3.733717619525123e-06,0.0,1.0215936303138733,0.0026636719703674316,-11.143428167399199,1.5857142857142856,0.8000872383902594
6,11200,33600,-0.0002630882643277488,6.556431770324707,1.5215712487697601,3.974402716266923e-06,0.0,1.0335459411144257,-0.01621222496032715,-11.47581639026063,1.381578947368421,0.7593573347779436
7,12800,38400,-0.0001373893034180007,6.359468936920166,1.5309527218341827,4.327646479396208e-06,0.0,1.0388010442256927,0.013462066650390625,-11.906161932702604,1.4594594594594594,0.785390947294972
8,14400,43200,-0.00019630036913442783,6.885292291641235,1.5447435677051544,4.280628559172328e-06,0.0,1.0532683730125427,0.03294485807418823,-11.020012301622662,1.3246753246753247,0.7842634383419749
9,16000,48000,-8.993193303474811e-05,8.284256219863892,1.5396255254745483,3.4895143130597717e-06,0.0,1.0558221638202667,0.05031543970108032,-13.166421804236903,1.6712328767123288,0.6842994743286316
