update,env_steps,agent_steps,policy_loss,value_loss,entropy,approx_kl,clip_fraction,explained_variance,rollout_episode_return_mean,rollout_collision_count_mean,rollout_landmarks_covered_mean
0,8,24,-0.0028618499636650085,1.5254581073919933,1.6094257235527039,1.3105571269989014e-05,0.0,0.3546765446662903,0.0,0.0,0.0
0,8,24,-0.0028618499636650085,1.5254581073919933,1.6094257235527039,1.3105571269989014e-05,0.0,0.3546765446662903,0.0,0.0,0.0
0,8,24,-0.0028618499636650085,1.5254581073919933,1.6094257235527039,1.3105571269989014e-05,0.0,0.3546765446662903,0.0,0.0,0.0
1,16,48,-0.0018621558944384258,2.7522791624069214,1.6093712051709492,8.463859558105469e-06,0.0,0.12919622659683228,0.0,0.0,0.0
0,1600,4800,-0.0005880104145035148,62.503665606180824,1.6094068884849548,2.999615257219072e-05,0.0,0.012864947319030762,-28.198023224870365,1.125,0.064375
1,3200,9600,-0.00029266884181803715,50.94248135884603,1.6092714369297028,2.3008857686098356e-05,0.0,-0.005421280860900879,-26.36433136261379,1.234375,0.029375
2,4800,14400,-0.0003418834530748427,46.96117877960205,1.6089905103047688,2.5354415512879314e-05,0.0,0.02365809679031372,-25.04853971085201,1.234375,0.0575
3,6400,19200,-0.00028497840200240415,54.249284426371254,1.6086288491884868,2.3528213176859936e-05,0.0,-0.012716293334960938,-26.98197203828022,1.4375,0.035
4,8000,24000,-0.0001669165212661028,52.89739672342936,1.60833536585172,1.398472755909097e-05,0.0,0.0018857121467590332,-26.678213480627164,1.53125,0.055
5,9600,28800,-0.00024678798702855903,50.97395547231039,1.6079483330249786,1.6029943028665155e-05,0.0,-0.0067043304443359375,-26.43970167761048,1.0,0.03375
6,11200,33600,-0.00037521882162157755,47.68291346232096,1.6075559159119923,2.0782429080175763e-05,0.0,-0.015862584114074707,-25.462338424210127,1.09375,0.06625
7,12800,38400,-0.0002196853662705204,47.58115259806315,1.6070095896720886,1.9238035425435857e-05,0.0,-0.0055882930755615234,-25.45053156915431,1.59375,0.07625000000000001
8,14400,43200,-0.00019605851654584208,43.43858242034912,1.6062782804171245,1.3547043065405736e-05,0.0,-0.01992785930633545,-24.380828698553767,1.453125,0.083125
9,16000,48000,-0.00015430202862868705,44.44119930267334,1.6060934960842133,1.1391900433939858e-05,0.0,0.01828080415725708,-25.29757674364373,1.265625,0.052500000000000005
